position,company,salary,city,work_years,education,desc,domain,stage,scale
数据分析,易点租销售运营招聘,15k-20k,北京,经验3-5年,本科及以上,职位描述：我司为B2B硬件IT产品租赁行业独角兽，为了更快的适应我司的业务，希望有相关B2B行业对销售数据分析有经验的优秀人员加入！岗位要求：1、定期追踪销售关键指标，并从业务层面分析存在的问题，洞察问题的原因，提出指导改进策略。2、销售业务关键业务流程分析，发现流程中的问题，提升销售效率；3、分析销售数据背后的真实销售数据以推动整个销售目标的达成；4、搭建销售数据体系，定期向部门提供日常报表、月报、季报等，针对指标数据异常，提出预警。任职资格：1、计算机、统计学、数学相关专业本科以上学历；2、具有较深的数据挖掘分析功底，两年以上数据挖掘相关工作经验，与销售运营、销售数据分析或业务管理等相关经验者优先考虑；3、熟悉常用数据分析工具，掌握sql语言、powerBI工具和Python分析；3、较强的组织、协调、沟通、人际交往能力以及敏锐的洞察力；4、责任心强，能承受较强的工作压力，具有很强的判断与决策能力，计划和执行能力及解决复杂问题的能力，能独立或支持团队完成数据分析工作；5、为人正直，踏实稳重，思维严谨，有良好的服务意识。,电商,D轮及以上,洪泰基金(天使轮)，源码资本　某政府主权机构(D轮及以上)，源码资本；顺为资本；经纬中国；鸿泰基金；考拉基金(C轮)，经纬中国；顺为资本；考拉基金；洪泰基金(B轮)，拉卡拉基金；经纬中国；顺为资本；1898友创(B轮)，经纬中国；顺为资本(A轮)
数据分析师（2020校招）,莉莉丝游戏招聘,10k-20k,上海,经验应届毕业生,学历不限,"职位描述：岗位职责:岗位职责-帮助游戏业务的各个环节(研发,运营,发行)提供决策需要的数据分析支持-从数据角度出发寻找和发掘数据中的价值任职资格:岗位要求-国内外知名院校，良好的数学,统计基础-熟练使用EXCEL,SQL,Python,R等常用数据分析工具和语言-熟悉常用统计分析,统计学习模型;熟悉常用数据可视化的工具-喜欢玩游戏,理解游戏的业务逻辑-思维清晰,逻辑严谨,对数字敏感,善于从数据中发现问题-有商业数据分析的经验,手游行业更佳","移动互联网,游戏",不需要融资,500-2000人
数据分析,还呗-智能信贷领先者风险管理部招聘,15k-25k,上海,经验3-5年,本科及以上,职位描述：岗位职责：1. 建立资产管理部数据管理体系，搭建资产管理报表体系；2. 进行业务分析，提炼业务策略，挖掘业务改进点，并推进改进项目落地；3. 对客户进行分析，结合业务经验和计量方法，搭建优化客户分群模型；4. 负责资产管理风险政策的制定与优化，优化政策执行及运营管理效率效果。 任职要求：1. 具有相关工作经验3年以上，有贷后策略经验优先；2. 本科及以上学历，硕士及以上学历优先；3. 统计、数学、金融相关专业优先；4. 善于数据处理及分析，掌握SQL、Python等常用分析工具（懂决策树、计量模型构建更佳）；5. 较强的逻辑思维能力、思考及解决问题的能力；6. 良好的表达沟通能力及执行力。,金融,B轮,获众为资本及诺亚财富3300万美元B+轮投资(B轮)，获得新浪3000万美元投资(B轮)，获得红杉中国、信达香港及诺亚财富3.5亿元投资(A轮)，分众传媒(天使轮)
数据分析,瑞银信风险管理部招聘,10k-20k,北京,经验不限,本科及以上,"职位描述：岗位职责：1.研究现有业务和客群，针对业务需求建立数据分析模型，为业务团队提供数据分析及业务诊断建议，撰写分析报告，分析范围包括市场、运营及风险，并不断优化结果；2.通过对数据的分析不断提取业务特征变量，从数据层面帮助业务团队加深对客户、产品、风险的认识；3.通过日常数据分析和深入专项分析，及时预警潜在风险或提示潜在业务机会任职要求：1.本科及以上,金融、数学、统计学、计算机等相关专业;2.熟悉统计分析和数据挖掘，具备熟练的Excel技能，具备一年以上SAS编程经验；同时具备python等其他语言编程能力优先；3.具有较强的逻辑思维能力和数据敏感度，可以独立进行数据分析并出具报告；4.对消费金融和互联网金融有一定认识；5.好奇、勤奋、乐观，终身学习者，对数据分析充满热情。","移动互联网,金融",不需要融资,2000人以上
数据分析师（行业频道）,汽车之家资讯中心招聘,15k-25k,北京,经验3-5年,本科及以上,职位描述：岗位职责：1、基于产品用户行为及用户评价大数据，建立模型进行挖掘分析，对外输出数据报告或文章进行市场的分析和解读；2、对汽车产业及市场（产销/渠道）数据进行深度分析，输出逻辑严谨、观点突出的行业及市场分析报告；3、深入了解汽车行业（包括新车/二手车/后市场/新能源/智能网联等领域），根据行业洞察，建立专业性的分析专栏并在行业内传播观点；4、定期参加行业企业或协会组织的交流、研讨会议，建立行业人脉以了解行业发展形势；5、挖掘汽车行业内有价值的数据，梳理分析维度和指标并进行可视化展现，支撑公司行业数据产品的迭代。任职要求：1、经济学、管理学、统计学、数学、计算机等相关的本科及以上学历；2、3年及以上互联网大数据分析或行业分析经验，具备知名互联网公司市场分析/大数据分析经历，或知名咨询公司及证券/投资公司行业分析经历，其他行业具备优秀分析及报告撰写能力的人员也可；3、熟练使用PPT、Excel等基础办公工具，能制作简洁美观的图表；4、具备大数据的处理能力，熟练使用SQL，熟悉hadoop等数据查询工具，能使用R/python等分析工具更佳；5、学习研究能力强，分析逻辑严谨，文笔较好，具备专业报告的写作能力和图文展现能力；6、具备汽车行业或市场分析经验者优先。,汽车丨出行,上市公司,2000人以上
数据分析,阿卡索外教网总经办招聘,15k-25k,深圳,经验1-3年,本科及以上,职位描述：岗位职责：1.    与各业务团队有效沟通，收集和整理数据分析需求，能快速理解相关业务；2.    配合产品经理进行相关产品及项目的定型，前端交互以及分析维度设计，参与相关产品及项目的解决方案梳理和制定；3.    对流量、用户、交易、渠道、活动等数据进行定期统计和分析，输出业务洞察报告；4.    根据数据分析和对业务形态的理解，对产品、服务、营销等活动提出合理化建议。 任职要求：1.    大专及以上学历，统计学、应用数学、计算机、计量经济、金融等相关专业；2.    两年以上数据分析经验，具备较强的逻辑思维能力、决策判断力及较强的学习能力，沟通及表达能力强；3.    熟练掌握和运用相关数据分析软件，了解线性回归模型，非线性回归模型，判别分析模型，聚类分析模型，因子分析模型，生存分析模型等；4.    熟悉在线教育行业业务知识，善于输出洞察报告；5.    熟练使用Python、R语言者优先。 ,"教育,移动互联网",C轮,2000人以上
大数据分析师,CLPS招聘,16k-25k,广州,经验5-10年,大专及以上,职位描述：1.大学本科学历，IT或相关专业2.5年以上银行业数据分析工作经验3.熟悉银行产品和银行数据4.有数据架构师或数据建模工作经验优先5.有Python/R/Spark/Cloud经验者优先6.较强的自学能力和解决问题的能力7.良好的沟通能力，能说/写/听粤语和英语8.积极主动，自我激励，可靠和独立。,"数据服务,金融",未融资,500-2000人
数据分析,光点科技招聘,9k-13k,上海,经验1-3年,本科及以上,职位描述：岗位职责：1.利用机器学习方法解决实际业务问题；2.对基础数据进行整理清洗和统计分析，刷选变量，提取特征，并创建模型；3.参与各类模型的设计、开发、实施与跟踪，结合实际效果不断进行模型的训练和迭代；任职要求：1.熟练掌握Python的数据挖掘算法来实现机器学习或深度学习；2.本科以上学历，至少具备以下教育背景中的一种：计算机与信息科学类、数学类、统计类、计量经济学类、机器学习类等专业（硕士以上学历优先）；3.1年以上数据分析、数据挖掘及模型开发经验（保险金融公司、互联网公司大数据开发、建模与分析经验者优先）；4.熟悉主流机器学习库，熟悉主流数据库环境；5.对工作有热情，具备良好的学习能力、逻辑思维能力、沟通能力、团队协作能力和执行力。,"移动互联网,数据服务",未融资,50-150人
数据分析,海万科技招聘,10k-15k,上海,经验1-3年,本科及以上,职位描述：要求：熟练使用SQL，能根据要求，熟练使用sql语句调用oracle或sql sever数据库中的数据，能熟练提取相关的数据。 掌握并熟练使用EXCEL（函数、数据透视表、各种类型的图，如柱状图、折线图等），会简单的VBA的编写（宏的录制）；会使用SAS、SPSS的一些基本操作。地点：陆家嘴,"移动互联网,金融",不需要融资,500-2000人
数据分析,UU跑腿招聘,7k-12k,郑州,经验3-5年,本科及以上,职位描述：岗位职责：1、根据公司业务方向，对产品、运营、市场数据进行分析，建立和完善运营指标体系；2、主动深入业务，理解业务运作逻辑，能结合公司规划，推动发现新的业务优化点、增长点，为决策提供数据支持；3、主动向运营部门输入自己的观点，提升其使用数据的频率，进行常规报表解读、数据可视化工具使用的培训；4、深入理解产品的使用场景，为产品部门在可用性、成本方面更好的设计做参考；5、根据分析结果编写PPT，向决策层输出方案报告。岗位要求：1、掌握编写SQL脚本；2、熟练使用Excel、ppt，有SPSS、SAS等分析统计工具经验优先；3、良好的逻辑思维能力，能够发现关键数据、关键问题，从数据中发现有价值的规律；4、思路清晰，具备良好的沟通能力和理解能力，较强的学习能力以及快速解决问题的能力。,"移动互联网,消费生活",B轮,150-500人
